NAMESPACE     LAST SEEN   TYPE      REASON                    OBJECT                                                           MESSAGE
default       53m         Normal    NodeAllocatableEnforced   node/<NODE-02>                                  Updated Node Allocatable limit across pods
default       53m         Warning   InvalidDiskCapacity       node/<NODE-02>                                  invalid capacity 0 on image filesystem
default       53m         Normal    Starting                  node/<NODE-02>                                  Starting kubelet.
default       53m         Normal    NodeReady                 node/<NODE-01>                                  Node <NODE-01> status is now: NodeReady
kube-system   53m         Normal    Pulled                    pod/aws-node-qd46x                                               Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.4.0-eksbuild.1" in 1.933s (1.933s including waiting). Image size: 33957519 bytes.
kube-system   53m         Normal    Created                   pod/aws-node-qd46x                                               Container created
kube-system   53m         Normal    Started                   pod/aws-node-qd46x                                               Container started
default       53m         Normal    NodeReady                 node/<NODE-04>                                  Node <NODE-04> status is now: NodeReady
default       53m         Normal    Synced                    node/<NODE-02>                                  Node synced successfully
kube-system   53m         Normal    SuccessfulCreate          daemonset/aws-node                                               Created pod: aws-node-t4cm2
default       53m         Normal    NodeReady                 node/<NODE-03>                                 Node <NODE-03> status is now: NodeReady
kube-system   53m         Normal    Scheduled                 pod/aws-node-t4cm2                                               Successfully assigned kube-system/aws-node-t4cm2 to <NODE-02>
kube-system   53m         Normal    SuccessfulCreate          daemonset/eks-pod-identity-agent                                 Created pod: eks-pod-identity-agent-lvjf5
kube-system   53m         Normal    Pulling                   pod/aws-node-t4cm2                                               Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni-init:v1.22.4-eksbuild.3"
kube-system   53m         Normal    Pulling                   pod/eks-pod-identity-agent-lvjf5                                 Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/eks-pod-identity-agent:v0.1.37"
kube-system   53m         Normal    Scheduled                 pod/eks-pod-identity-agent-lvjf5                                 Successfully assigned kube-system/eks-pod-identity-agent-lvjf5 to <NODE-02>
default       53m         Normal    RegisteredNode            node/<NODE-02>                                  Node <NODE-02> event: Registered Node <NODE-02> in Controller
kube-system   53m         Normal    Started                   pod/eks-pod-identity-agent-lvjf5                                 Container started
kube-system   53m         Normal    Created                   pod/eks-pod-identity-agent-lvjf5                                 Container created
kube-system   53m         Normal    Pulled                    pod/eks-pod-identity-agent-lvjf5                                 Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/eks-pod-identity-agent:v0.1.37" in 2.287s (2.287s including waiting). Image size: 15197176 bytes.
kube-system   53m         Normal    Pulling                   pod/eks-pod-identity-agent-lvjf5                                 Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/eks-pod-identity-agent:v0.1.37"
kube-system   53m         Normal    Pulling                   pod/aws-node-t4cm2                                               Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni:v1.22.4-eksbuild.3"
kube-system   53m         Normal    Started                   pod/aws-node-t4cm2                                               Container started
kube-system   53m         Normal    Created                   pod/eks-pod-identity-agent-lvjf5                                 Container created
kube-system   53m         Normal    Started                   pod/eks-pod-identity-agent-lvjf5                                 Container started
kube-system   53m         Normal    Created                   pod/aws-node-t4cm2                                               Container created
kube-system   53m         Normal    Pulled                    pod/eks-pod-identity-agent-lvjf5                                 Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/eks-pod-identity-agent:v0.1.37" in 155ms (155ms including waiting). Image size: 15197176 bytes.
kube-system   53m         Normal    Pulled                    pod/aws-node-t4cm2                                               Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni-init:v1.22.4-eksbuild.3" in 3.789s (3.789s including waiting). Image size: 69724381 bytes.
kube-system   53m         Normal    Created                   pod/aws-node-t4cm2                                               Container created
kube-system   53m         Normal    Pulling                   pod/aws-node-t4cm2                                               Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.4.0-eksbuild.1"
kube-system   53m         Normal    Pulled                    pod/aws-node-t4cm2                                               Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni:v1.22.4-eksbuild.3" in 2.045s (2.045s including waiting). Image size: 57915596 bytes.
kube-system   53m         Normal    Started                   pod/aws-node-t4cm2                                               Container started
